modelo,codigo_modelo,ano_fabricacao,ano_modelo,cor,estoque,preco_a_vista,preco_formatado,parcela_1x,parcela_2x,parcela_3x,parcela_4x,parcela_5x,parcela_6x,parcela_7x,parcela_8x,parcela_9x,parcela_10x,parcela_11x,parcela_12x
BIZ 125 ES,140,2026,2026,PRETO,1,16500,"R$ 16.500,00","R$ 16.993,35","R$ 17.397,60","R$ 17.529,60","R$ 17.661,60","R$ 17.793,60","R$ 17.927,25","R$ 18.060,90","R$ 18.194,55","R$ 18.329,85","R$ 18.465,15","R$ 18.602,10","R$ 18.739,05"
BIZ 125 EX,142,2026,2026,BRANCO PEROLIZADO,2,19800,"R$ 19.800,00","R$ 20.392,02","R$ 20.877,12","R$ 21.035,52","R$ 21.193,92","R$ 21.352,32","R$ 21.512,70","R$ 21.673,08","R$ 21.833,46","R$ 21.995,82","R$ 22.158,18","R$ 22.322,52","R$ 22.486,86"
BIZ 125 EX,142,2026,2026,BRANCO PEROLIZADO,1,19800,"R$ 19.800,00","R$ 20.392,02","R$ 20.877,12","R$ 21.035,52","R$ 21.193,92","R$ 21.352,32","R$ 21.512,70","R$ 21.673,08","R$ 21.833,46","R$ 21.995,82","R$ 22.158,18","R$ 22.322,52","R$ 22.486,86"
BIZ 125 EX,142,2026,2026,BRANCO PEROLIZADO,1,19800,"R$ 19.800,00","R$ 20.392,02","R$ 20.877,12","R$ 21.035,52","R$ 21.193,92","R$ 21.352,32","R$ 21.512,70","R$ 21.673,08","R$ 21.833,46","R$ 21.995,82","R$ 22.158,18","R$ 22.322,52","R$ 22.486,86"
BIZ 125 EX,142,2026,2027,BRANCO PEROLIZADO,1,20190,"R$ 20.190,00","R$ 20.793,68","R$ 21.288,34","R$ 21.449,86","R$ 21.611,38","R$ 21.772,90","R$ 21.936,44","R$ 22.099,97","R$ 22.263,51","R$ 22.429,07","R$ 22.594,63","R$ 22.762,21","R$ 22.929,78"
BIZ 125 EX,142,2026,2026,AZUL METÁLICO,1,19800,"R$ 19.800,00","R$ 20.392,02","R$ 20.877,12","R$ 21.035,52","R$ 21.193,92","R$ 21.352,32","R$ 21.512,70","R$ 21.673,08","R$ 21.833,46","R$ 21.995,82","R$ 22.158,18","R$ 22.322,52","R$ 22.486,86"
BIZ 125 EX,142,2026,2026,AZUL METÁLICO,7,19800,"R$ 19.800,00","R$ 20.392,02","R$ 20.877,12","R$ 21.035,52","R$ 21.193,92","R$ 21.352,32","R$ 21.512,70","R$ 21.673,08","R$ 21.833,46","R$ 21.995,82","R$ 22.158,18","R$ 22.322,52","R$ 22.486,86"
BIZ 125 EX,142,2026,2026,VERMELHO PEROLIZADO,1,19800,"R$ 19.800,00","R$ 20.392,02","R$ 20.877,12","R$ 21.035,52","R$ 21.193,92","R$ 21.352,32","R$ 21.512,70","R$ 21.673,08","R$ 21.833,46","R$ 21.995,82","R$ 22.158,18","R$ 22.322,52","R$ 22.486,86"
BIZ 125 EX,142,2026,2026,VERMELHO PEROLIZADO,2,19800,"R$ 19.800,00","R$ 20.392,02","R$ 20.877,12","R$ 21.035,52","R$ 21.193,92","R$ 21.352,32","R$ 21.512,70","R$ 21.673,08","R$ 21.833,46","R$ 21.995,82","R$ 22.158,18","R$ 22.322,52","R$ 22.486,86"
BIZ 125 EX,142,2026,2026,VERMELHO PEROLIZADO,15,19800,"R$ 19.800,00","R$ 20.392,02","R$ 20.877,12","R$ 21.035,52","R$ 21.193,92","R$ 21.352,32","R$ 21.512,70","R$ 21.673,08","R$ 21.833,46","R$ 21.995,82","R$ 22.158,18","R$ 22.322,52","R$ 22.486,86"
